id,name,course_id,class_name,class_name_en,kind,classes,language,credit,period,information,capacity,star,department
ED44A1D2E1461676E053CB0412ACA8F0,飞行模拟实验-01班-双语,MAE102,飞行模拟实验,Flight Simulating Experiment,选修,专业导论类,双语,1,32,"<p>     <a href=""javascript:void(0);""    >刘晓宇</a></p><p><b style='font-weight:bold'>上课信息:</b><div style='height: auto;' class=""ivu-tag ivu-tag-size-default ivu-tag-cyan ivu-tag-checked""><span class=""ivu-tag-text""><p>1-16周,星期四第9-10节 工学院北楼108</p></span></div></p><div style='height: auto;' class=""ivu-tag ivu-tag-size-default ivu-tag-green ivu-tag-checked""> <span class=""ivu-tag-text""><p></span></div></p>",10,9,力学与航空航天工程系
ED44A1D2E14C1676E053CB0412ACA8F0,飞行模拟实验-02班-双语,MAE102,飞行模拟实验,Flight Simulating Experiment,选修,专业导论类,双语,1,32,"<p>     <a href=""javascript:void(0);""    >赵晓争</a></p><p><b style='font-weight:bold'>上课信息:</b><div style='height: auto;' class=""ivu-tag ivu-tag-size-default ivu-tag-cyan ivu-tag-checked""><span class=""ivu-tag-text""><p>1-16周,星期二第9-10节 工学院北楼108</p></span></div></p><div style='height: auto;' class=""ivu-tag ivu-tag-size-default ivu-tag-green ivu-tag-checked""> <span class=""ivu-tag-text""><p></span></div></p>",10,10,力学与航空航天工程系
ED44A1D2E1511676E053CB0412ACA8F0,飞行模拟实验-03班-双语,MAE102,飞行模拟实验,Flight Simulating Experiment,选修,专业导论类,双语,1,32,"<p>     <a href=""javascript:void(0);""    >肖思</a></p><p><b style='font-weight:bold'>上课信息:</b><div style='height: auto;' class=""ivu-tag ivu-tag-size-default ivu-tag-cyan ivu-tag-checked""><span class=""ivu-tag-text""><p>1-16周,星期三第9-10节 工学院北楼108</p></span></div></p><div style='height: auto;' class=""ivu-tag ivu-tag-size-default ivu-tag-green ivu-tag-checked""> <span class=""ivu-tag-text""><p></span></div></p>",10,10,力学与航空航天工程系
EC73BE84CFA01F5FE053CB0412AC09C7,材料力学-01班-英文,MAE202,材料力学,Mechanics of Materials,必修,专业基础课,英文,3,48,"<p>     <a href=""javascript:void(0);""    >张新</a></p><p><b style='font-weight:bold'>上课信息:</b><div style='height: auto;' class=""ivu-tag ivu-tag-size-default ivu-tag-cyan ivu-tag-checked""><span class=""ivu-tag-text""><p>1-16周,星期一第3-4节 三教205</p><p>2-16双周,星期三第5-6节 三教205</p></span></div></p><div style='height: auto;' class=""ivu-tag ivu-tag-size-default ivu-tag-green ivu-tag-checked""> <span class=""ivu-tag-text""><p></span></div></p>",40,34,力学与航空航天工程系
EDE570B36E0B43B7E053CB0412AC8428,材料力学-02班-英文,MAE202,材料力学,Mechanics of Materials,必修,专业基础课,英文,3,48,"<p>     <a href=""javascript:void(0);""    >薛亚辉</a></p><p><b style='font-weight:bold'>上课信息:</b><div style='height: auto;' class=""ivu-tag ivu-tag-size-default ivu-tag-cyan ivu-tag-checked""><span class=""ivu-tag-text""><p>1-16周,星期二第7-8节 三教105</p><p>1-15单周,星期四第3-4节 三教105</p></span></div></p><div style='height: auto;' class=""ivu-tag ivu-tag-size-default ivu-tag-green ivu-tag-checked""> <span class=""ivu-tag-text""><p></span></div></p>",50,50,力学与航空航天工程系
EC73BE84CFA21F5FE053CB0412AC09C7,理论力学I-B-01班-英文,MAE203B,理论力学I-B,Engineering Mechanics I – Statics and Dynamics,必修,专业基础课,英文,3,48,"<p>     <a href=""javascript:void(0);""    >唐欣</a></p><p><b style='font-weight:bold'>上课信息:</b><div style='height: auto;' class=""ivu-tag ivu-tag-size-default ivu-tag-cyan ivu-tag-checked""><span class=""ivu-tag-text""><p>1-7,9-16周,星期三第3-4节 三教105</p><p>2-16双周,星期五第1-2节 三教105</p><p>11周,星期六第3-4节 三教105</p></span></div></p><div style='height: auto;' class=""ivu-tag ivu-tag-size-default ivu-tag-green ivu-tag-checked""> <span class=""ivu-tag-text""><p></span></div></p>",60,40,力学与航空航天工程系
EC73BE84CFC31F5FE053CB0412AC09C7,理论力学 II-01班-双语,MAE204,理论力学 II,Theoretical Mechanics II,必修,专业核心课,双语,3,48,"<p>     <a href=""javascript:void(0);""    >王建春</a></p><p><b style='font-weight:bold'>上课信息:</b><div style='height: auto;' class=""ivu-tag ivu-tag-size-default ivu-tag-cyan ivu-tag-checked""><span class=""ivu-tag-text""><p>1-16周,星期四第1-2节 一教505</p><p>2-16双周,星期二第9-10节 一教505</p></span></div></p><div style='height: auto;' class=""ivu-tag ivu-tag-size-default ivu-tag-green ivu-tag-checked""> <span class=""ivu-tag-text""><p></span></div></p>",40,30,力学与航空航天工程系
EC73BE84CF9F1F5FE053CB0412AC09C7,工程流体力学-01班-双语,MAE207,工程流体力学,Engineering Fluid Mechanics,必修,专业基础课,双语,3,48,"<p>     <a href=""javascript:void(0);""    >周波</a></p><p><b style='font-weight:bold'>上课信息:</b><div style='height: auto;' class=""ivu-tag ivu-tag-size-default ivu-tag-cyan ivu-tag-checked""><span class=""ivu-tag-text""><p>1-16周,星期一第7-8节 一教505</p><p>1-15单周,星期三第5-6节 一教505</p></span></div></p><div style='height: auto;' class=""ivu-tag ivu-tag-size-default ivu-tag-green ivu-tag-checked""> <span class=""ivu-tag-text""><p></span></div></p>",40,17,力学与航空航天工程系
EC73BE84CFC51F5FE053CB0412AC09C7,工程软件选讲-01班-双语,MAE208,工程软件选讲,Lectures On Selected Engineering Software,选修,专业选修课,双语,2,64,"<p>     <a href=""javascript:void(0);""    >赵晓争</a>     <a href=""javascript:void(0);""    >刘晓宇</a>     <a href=""javascript:void(0);""    >肖思</a></p><p><b style='font-weight:bold'>上课信息:</b><div style='height: auto;' class=""ivu-tag ivu-tag-size-default ivu-tag-cyan ivu-tag-checked""><span class=""ivu-tag-text""><p>1-5,16周,星期五第5-8节 工学院北楼1015</p><p>6-10周,星期五第5-8节 工学院北楼1015</p><p>11-15周,星期五第5-8节 工学院北楼1015</p></span></div></p><div style='height: auto;' class=""ivu-tag ivu-tag-size-default ivu-tag-green ivu-tag-checked""> <span class=""ivu-tag-text""><p></span></div></p>",20,15,力学与航空航天工程系
EC73BE84CFA41F5FE053CB0412AC09C7,流体力学实验-01班-双语,MAE302-16,流体力学实验,Fluid Mechanics Lab,必修,专业核心课,双语,3,96,"<p>     <a href=""javascript:void(0);""    >赵晓争</a>     <a href=""javascript:void(0);""    >刘晓宇</a>     <a href=""javascript:void(0);""    >赵晓争</a></p><p><b style='font-weight:bold'>上课信息:</b><div style='height: auto;' class=""ivu-tag ivu-tag-size-default ivu-tag-cyan ivu-tag-checked""><span class=""ivu-tag-text""><p>1-3周,星期三第5-10节 三教409</p><p>4-11周,星期三第5-10节 工学院北楼137</p><p>12-16周,星期三第5-10节 工学院北楼137</p></span></div></p><div style='height: auto;' class=""ivu-tag ivu-tag-size-default ivu-tag-green ivu-tag-checked""> <span class=""ivu-tag-text""><p></span></div></p>",20,18,力学与航空航天工程系
